Date,Open,High,Low,Close
2017-07-20 07-PM,2600,2635,2598.4,2678.9
2017-07-20 08-PM,2626.98,2679,2608,2697
2017-07-20 09-PM,2678.9,2730,2662,2750.72
2017-07-20 10-PM,2697,2750.72,2697,2736.85
2017-07-20 11-PM,2750.72,2817.78,2662.45,2680
2017-07-21 12-AM,2736.85,2769.97,2603,2695.6
2017-07-21 01-AM,2680,2712.3,2653.17,2640
2017-07-21 02-AM,2695.6,2714,2616.34,2593.97
2017-07-21 03-AM,2640,2640,2572,2648
2017-07-21 04-AM,2593.97,2660,2593.97,2700
2017-07-21 05-AM,2648,2700,2645,2690
2017-07-21 06-AM,2700,2733.54,2640.5,2670.29
2017-07-21 07-AM,2690,2695.3,2643.08,2615
2017-07-21 08-AM,2670.29,2683.07,2601.5,2655.02
2017-07-21 09-AM,2615,2695,2615,2610
2017-07-21 10-AM,2655.02,2666.97,2610,2656
2017-07-21 11-AM,2610,2656.97,2605,2701
