Date,Open,High,Low,Close,Volume From,Volume To
2017-07-08 02-AM,2577.55,2583.78,2560.86,2573.5,25477,27545.08
2017-07-08 03-AM,2573.5,2583.78,2570.22,2570.39,15.87,40892.47
2017-07-08 04-AM,2570.39,2583.78,2570.39,2583.77,43313,2798.97
2017-07-08 05-AM,2583.77,2583.77,2571.01,2580,5.0,12872.45
2017-07-08 06-AM,2580,2582.99,2560.4,2564.05,23468,11948.67
2017-07-08 07-AM,2564.05,2581.99,2564.05,2570,11536,21395.86
2017-07-08 08-AM,2570,2579.98,2562.13,2579.98,24228,14532.47
2017-07-08 09-AM,2579.98,2600,2568.01,2590,13667,16476.4
2017-07-08 10-AM,2590,2601.55,2577.69,2577.69,11963,26728.43
2017-07-08 11-AM,2577.69,2586.12,2569.53,2585,43344,4897.98
2017-07-08 12-PM,2585,2586.11,2569.77,2570.16,43106,15729.82
2017-07-08 01-PM,2570.16,2590,2570.16,2577.59,31990,22903.68
2017-07-08 02-PM,2577.59,2609,2577.11,2594.47,47.82,124134.35
2017-07-08 03-PM,2594.47,2609.25,2591.03,2595.04,12086,6072.82
2017-07-08 04-PM,2595.04,2610,2590.01,2601.95,11689,3421.33
2017-07-08 05-PM,2601.95,2609,2580,2599,41671,5552.11
2017-07-08 06-PM,2599,2600,2587,2587,23802,9453.55
2017-07-08 07-PM,2587,2606.98,2587,2606.98,43133,5699.07
2017-07-08 08-PM,2606.98,2608.89,2590.02,2590.1,23071,9428.95
2017-07-08 09-PM,2590.1,2605.8,2590.1,2591.45,14154,26946.88
2017-07-08 10-PM,2591.45,2605.79,2591,2605,16558,14164.82
2017-07-08 11-PM,2605,2605.72,2591.01,2591.12,34090,15425.67
2017-07-09 12-AM,2591.12,2605.61,2591.04,2600,45992,31794.01
2017-07-09 01-AM,2600,2605.79,2593.01,2601.82,33848,25812.6
2017-07-09 02-AM,2601.82,2602.88,2593.01,2600.3,28734,25451.21
2017-07-09 03-AM,2600.3,2604.97,2591,2604.97,14.81,38475.74
2017-07-09 04-AM,2604.97,2604.97,2590.2,2600,13.13,34092.15
2017-07-09 05-AM,2600,2600,2591,2596.7,42979,23815.08
2017-07-09 06-AM,2596.7,2601,2590.2,2599,14.55,37764.96
2017-07-09 07-AM,2599,2605.74,2590.2,2590.2,28703,22766.34
2017-07-09 08-AM,2590.2,2596.96,2582.27,2583.12,43441,18455.21
2017-07-09 09-AM,2583.12,2597.88,2583.12,2583.85,16893,11536.44
2017-07-09 10-AM,2583.85,2597,2583.85,2596,0.8647,2244.42
2017-07-09 11-AM,2596,2614,2584.01,2592.7,43230,26161.35
2017-07-09 12-PM,2592.7,2608.3,2588.11,2591.48,43227,18325.84
2017-07-09 01-PM,2591.48,2609.99,2591.48,2600,26085,17474.26
2017-07-09 02-PM,2600,2607.99,2591.25,2605,26359,9667.33
2017-07-09 03-PM,2605,2605,2591.29,2593.06,16.27,42275.29
2017-07-09 04-PM,2593.06,2610.46,2591.27,2594.22,43119,49459.72
2017-07-09 05-PM,2594.22,2610.47,2594.22,2594.36,43254,9342.11
2017-07-09 06-PM,2594.36,2613.93,2594.36,2602.5,33848,25879.58
2017-07-09 07-PM,2602.5,2607.5,2591.51,2600,43168,24189.49
2017-07-09 08-PM,2600,2610,2590.01,2595,0.7566,1964.9
2017-07-09 09-PM,2595,2604.8,2590,2597,43168,23441.47
2017-07-09 10-PM,2597,2604.8,2590.01,2592.5,31625,22980.23
2017-07-09 11-PM,2592.5,2600,2590,2599.99,35217,18052.15
